Library,Language,Category
com.sksamuel.scapegoat,Scala,Code Analysis and Linting
org.scala-js:scalajs-test-bridge_2.13,Scala,Testing
org.scala-js:scalajs-test-interface_2.12,Scala,Testing
com.typesafe.play:play-test_2.11,Scala,Testing
org.scalatest:scalatest_2.9.1,Scala,Testing
org.finra.megasparkdiff:mega-spark-diff,Scala,Data Analysis
com.github.vicpara:exploratory-data-analysis_2.10,Scala,Data Analysis
org.emmalanguage:emma,Scala,Data Analysis
org.emmalanguage:emma-benchmarks,Scala,Data Analysis
org.simplex3d:simplex3d-data-format_2.10,Scala,Data Serialization
org.wvlet.airframe:airframe-tablet_2.13.0-RC2,Scala,Data Serialization
org.gnieh:fs2-data-text_2.13,Scala,Data Serialization
com.fasterxml.jackson.module:jackson-module-scala_2.12,Scala,Data Serialization
tech.orkestra:orkestra-core_sjs0.6_2.12,Scala,IT Automation
com.goyeau:orchestra-cron_2.12,Scala,Scheduling and Concurrency
com.aamend.spark:archetype,Scala,IT Automation
io.kevinlee:sbt-devoops-github-core_2.12_1.0,Scala,IT Automation
de.sciss:dotterweide-ui_2.11,Scala,Graphical User Interface Design
org.scala-lang.modules.scala-swing,Scala,Graphical User Interface Design
io.github.mimoguz.layeredfonticon-core,Scala,Graphical User Interface Design
piecemeal,Dart,Algorithms and Data Structures
collection,Dart,Algorithms and Data Structures
pointycastle,Dart,Security
graphs,Dart,Algorithms and Data Structures
connectivity_plus,Dart,Networking and Messaging
cached_network_image,Dart,File Handling
connectivity,Dart,Networking and Messaging
firebase_messaging,Dart,Networking and Messaging
create-fullstack-app-cli,Dart,IT Automation
flutter_local_notifications,Dart,Graphical User Interface Design
cron,Dart,Scheduling and Concurrency
timer_builder,Dart,Scheduling and Concurrency
syncfusion_flutter_calendar,Dart,Graphical User Interface Design
google_sign_in,Dart,Security
mqtt_client,Dart,Networking and Messaging
angel_security,Dart,Security
envied,Dart,Code Analysis and Linting
math_expressions,Dart,Mathematics and Numerics
more,Dart,Algorithms and Data Structures
ml_linalg,Dart,Mathematics and Numerics
fixed,Dart,Algorithms and Data Structures
sqflite,Dart,Database Management
cloud_firestore,Dart,Database Management
postgres,Dart,Database Management
hive,Dart,Database Management
path_provider,Dart,File Handling
image,Dart,Graphical User Interface Design
glob,Dart,File Handling
file,Dart,File Handling
logging,Dart,Logging and Monitoring
logger,Dart,Logging and Monitoring
ansicolor,Dart,Logging and Monitoring
pretty_dio_logger,Dart,Logging and Monitoring
flutter_lints,Dart,Code Analysis and Linting
pedantic_mono,Dart,Code Analysis and Linting
carapacik_lints,Dart,Code Analysis and Linting
velvet_custom_lints,Dart,Code Analysis and Linting
test,Dart,Testing
unittest,Dart,Testing
build_test,Dart,Testing
mocktail,Dart,Testing
grizzly_array,Dart,Algorithms and Data Structures
flutter_insights,Dart,Data Analysis
packhorse,Dart,IT Automation
plugin_mappintelligence,Dart,IT Automation
yaml,Dart,Data Serialization
built_value,Dart,Data Serialization
bson,Dart,Data Serialization
unleash,Dart,IT Automation
docrunner,Dart,IT Automation
cobertura,Dart,Code Analysis and Linting
bitwarden_secrets,Dart,Security
magical_widget,Dart,Graphical User Interface Design
flutter_auto_gui,Dart,Graphical User Interface Design
gui_shape,Dart,Graphical User Interface Design
rinf,Dart,Algorithms and Data Structures
collections,Python,Algorithms and Data Structures
heapq,Python,Algorithms and Data Structures
algorithms,Python,Algorithms and Data Structures
sortedcontainers,Python,Algorithms and Data Structures
asyncio,Python,Networking and Messaging
socket,Python,Networking and Messaging
kafka-python,Python,Networking and Messaging
dramatiq,Python,Networking and Messaging
arrow,Python,Scheduling and Concurrency
dateutil,Python,Scheduling and Concurrency
threading-framework,Python,Scheduling and Concurrency
schedule,Python,Scheduling and Concurrency
authlib,Python,Security
pyjwt,Python,Security
django-allauth,Python,Security
cryptography,Python,Security
scipy,Python,Mathematics and Numerics
numpy,Python,Mathematics and Numerics
statsmodel,Python,Mathematics and Numerics
sympy,Python,Mathematics and Numerics
pymysql,Python,Database Management
psycopg,Python,Database Management
pymongo,Python,Database Management
pickledb,Python,Database Management
mimetypes,Python,File Handling
pathlib,Python,File Handling
python-magic,Python,File Handling
wqtchdog,Python,Scheduling and Concurrency
logging,Python,Logging and Monitoring
structlog,Python,Logging and Monitoring
loguru,Python,Logging and Monitoring
flake8,Python,Code Analysis and Linting
pyflakes,Python,Code Analysis and Linting
pycodestyle,Python,Code Analysis and Linting
pylint,Python,Code Analysis and Linting
mamba,Python,Testing
pytest,Python,Testing
unittest,Python,Testing
pandas,Python,Data Analysis
optimus,Python,Data Analysis
schema,Python,Data Analysis
pydantic,Python,Data Serialization
marshmallow,Python,Data Serialization
pysimdjson,Python,Data Serialization
json,Python,Data Serialization
prophy,Python,Data Analysis
ansible,Python,IT Automation
pyinfra,Python,IT Automation
fabric,Python,IT Automation
tkinter,Python,Graphical User Interface Design
pyglet,Python,Graphical User Interface Design
pyqt,Python,Graphical User Interface Design
kivy,Python,Graphical User Interface Design
Graph,Perl,Algorithms and Data Structures
MetaMap-DataStructures,Perl,Algorithms and Data Structures
Array-Circular,Perl,Algorithms and Data Structures
Tree-R,Perl,Algorithms and Data Structures
NetAddr-MAC,Perl,Networking and Messaging
Net-OpenSSH,Perl,Networking and Messaging
Parse-IPCommand,Perl,Networking and Messaging
Net-SSH2,Perl,Networking and Messaging
docpad-plugin-scheduling,Perl,Scheduling and Concurrency
Async-Event-Interval,Perl,Scheduling and Concurrency
Schedule-SGELK,Perl,Scheduling and Concurrency
Mojolicious-Plugin-Cron-Scheduler,Perl,Scheduling and Concurrency
DBIx-Class-BcryptColumn,Perl,Security
Crypt-DRBG,Perl,Security
Plack-Middleware-SecureHeaders,Perl,Security
SPVM-Math,Perl,Mathematics and Numerics
App-Math-Tutor,Perl,Mathematics and Numerics
Math-RPN-Tiny,Perl,Mathematics and Numerics
Math-Sidef,Perl,Mathematics and Numerics
DBD-mysql,Perl,Database Management
Redis,Perl,Database Management
github.com/percona/percona-toolkit,Perl,Database Management
Database-Abstraction,Perl,Database Management
Path-Tiny,Perl,File Handling
File-Util,Perl,File Handling
PDF-API2,Perl,Data Serialization
IO-All,Perl,File Handling
CPAN-Testers-Schema,Perl,Data Analysis
Log-Report,Perl,Logging and Monitoring
Log-Contextual,Perl,Logging and Monitoring
event-tracer,Perl,Logging and Monitoring
Perl-Lint,Perl,Code Analysis and Linting
Perl-Critic,Perl,Code Analysis and Linting
B-Lint,Perl,Code Analysis and Linting
Perl-Analyzer,Perl,Code Analysis and Linting
Test-Strict,Perl,Testing
Math-BigInt,Perl,Mathematics and Numerics
Test-MockModule,Perl,Testing
Test-Without-Module,Perl,Testing
CLIPSeqTools,Perl,Data Analysis
App-RecordStream,Perl,Data Analysis
Data::Table,Perl,Data Analysis
PDL::Dataframe,Perl,Data Analysis
wxPerl,Perl,Graphical User Interface Design
Perl-Tk,Perl,Graphical User Interface Design
Prima,Perl,Graphical User Interface Design
Perl/KDE,Perl,Graphical User Interface Design
AnyData,Perl,Data Serialization
Data-Format-Pretty-YAML,Perl,Data Serialization
TOML-Tiny,Perl,Data Serialization
Rex,Perl,IT Automation
com.viliussutkus89:SampleLibraryForSonatypePromotionTesting,Perl,IT Automation
Jenkins::API,Perl,IT Automation
Minilla,Perl,IT Automation
@discordjs/collection,TypeScript,Algorithms and Data Structures
js-sdsl,TypeScript,Algorithms and Data Structures
typescript-collections,TypeScript,Algorithms and Data Structures
fast-array-diff,TypeScript,Algorithms and Data Structures
libp2p,TypeScript,Networking and Messaging
@multiformats/multiaddr,TypeScript,Networking and Messaging
@ethersproject/networks,TypeScript,Networking and Messaging
nats,TypeScript,Networking and Messaging
@types/node-schedule,TypeScript,Scheduling and Concurrency
agenda,TypeScript,Scheduling and Concurrency
@nestjs/schedule,TypeScript,Scheduling and Concurrency
@solid-primitives/scheduled,TypeScript,Scheduling and Concurrency
helmet,TypeScript,Security
snyk,TypeScript,Security
jssha,TypeScript,Security
@testing-library/user-event,TypeScript,Testing
antd,TypeScript,Graphical User Interface Design
random-js,TypeScript,Mathematics and Numerics
math-expression-evaluator,TypeScript,Mathematics and Numerics
normal-distribution,TypeScript,Mathematics and Numerics
@mathigon/fermat,TypeScript,Mathematics and Numerics
mongodb,TypeScript,Database Management
sequelize,TypeScript,Database Management
firebase,TypeScript,Database Management
typeorm,TypeScript,Database Management
rollup-plugin-dts,TypeScript,Code Analysis and Linting
tsx,TypeScript,Code Analysis and Linting
ts-node-dev,TypeScript,Code Analysis and Linting
@storybook/addon-console,TypeScript,Graphical User Interface Design
conventional-changelog-writer,TypeScript,IT Automation
git-raw-commits,TypeScript,IT Automation
@codemirror/lint,TypeScript,Code Analysis and Linting
@start/plugin-lib-eslint,TypeScript,Code Analysis and Linting
remark-lint-fenced-code-flag-case,TypeScript,Code Analysis and Linting
tslint-rxjs-subject-restrictions-rule,TypeScript,Code Analysis and Linting
jest,TypeScript,Testing
ts-jest,TypeScript,Testing
babel-jest,TypeScript,Testing
vitest,TypeScript,Testing
data-forge,TypeScript,Data Analysis
vue-component-meta,TypeScript,Graphical User Interface Design
@opticss/element-analysis,TypeScript,Graphical User Interface Design
@antv/l7-scene,TypeScript,Graphical User Interface Design
table,TypeScript,Data Analysis
form-data-encoder,TypeScript,File Handling
@nsis/language-data,TypeScript,Data Analysis
docker-compose,TypeScript,IT Automation
commitlint-azure-pipelines-cli,TypeScript,IT Automation
azure-devops-node-api,TypeScript,IT Automation
@karmaniverous/get-dotenv,TypeScript,File Handling
happy-dom,TypeScript,Graphical User Interface Design
react-png-tooltip,TypeScript,Graphical User Interface Design
infamous,TypeScript,Graphical User Interface Design
github.com/davecgh/go-spew,Go,Algorithms and Data Structures
github.com/google/btree,Go,Algorithms and Data Structures
github.com/lann/ps,Go,Algorithms and Data Structures
github.com/cespare/xxhash/v2,Go,Algorithms and Data Structures
golang.org/x/net,Go,Networking and Messaging
github.com/vishvananda/netns,Go,Networking and Messaging
github.com/nats-io/nats,Go,Networking and Messaging
github.com/jackc/pgproto3/v2,Go,Database Management
k8s.io/kubernetes,Go,IT Automation
github.com/go-co-op/gocron,Go,Scheduling and Concurrency
atomicgo.dev/schedule,Go,Scheduling and Concurrency
github.com/jasonlvhit/gocron,Go,Scheduling and Concurrency
github.com/google/uuid,Go,Algorithms and Data Structures
github.com/golang-jwt/jwt/v4,Go,Security
github.com/microcosm-cc/bluemonday,Go,Security
github.com/99designs/keyring,Go,Security
github.com/go-redis/cache/v8,Go,Database Management
gopkg.in/inf.v0,Go,Algorithms and Data Structures
github.com/go-corelibs/maths,Go,Mathematics and Numerics
github.com/go-inf/inf,Go,Algorithms and Data Structures
github.com/pkg/math,Go,Mathematics and Numerics
github.com/go-sql-driver/mysql,Go,Database Management
github.com/lib/pq,Go,Database Management
go.mongodb.org/mongo-driver,Go,Database Management
go.etcd.io/bbolt,Go,Database Management
github.com/pelletier/go-toml/v2,Go,Data Serialization
github.com/joho/godotenv,Go,File Handling
cloud.google.com/go/storage,Go,Database Management
github.com/minio/minio-go/v7,Go,Database Management
github.com/sirupsen/logrus,Go,Logging and Monitoring
go.uber.org/zap,Go,Logging and Monitoring
github.com/go-logr/logr,Go,Logging and Monitoring
go.opentelemetry.io/otel,Go,Logging and Monitoring
golang.org/x/lint,Go,Code Analysis and Linting
github.com/golangci/lint-1,Go,Code Analysis and Linting
github.com/mvdan/lint,Go,Code Analysis and Linting
github.com/golang/lint,Go,Code Analysis and Linting
github.com/stretchr/testify,Go,Testing
github.com/google/go-cmp,Go,Code Analysis and Linting
gopkg.in/check.v1,Go,Testing
github.com/onsi/ginkgo,Go,Testing
github.com/rocketlaunchr/dataframe-go,Go,Data Analysis
github.com/fjukstad/walrus,Go,Algorithms and Data Structures
github.com/hokiegeek/hgtealib,Go,Algorithms and Data Structures
github.com/forchain/bitcoinbigdata,Go,Data Analysis
github.com/google/orderedcode,Go,Code Analysis and Linting
github.com/ipfs/go-block-format,Go,File Handling
github.com/linkedin/goavro/v2,Go,Data Serialization
github.com/minio/sio,Go,File Handling
github.com/power-devops/perfstat,Go,Logging and Monitoring
github.com/gruntwork-io/terratest,Go,Testing
go.mozilla.org/sops/v3,Go,Security
github.com/vladimirvivien/gexe,Go,Algorithms and Data Structures
qtypes,Go,Algorithms and Data Structures
github.com/ctessum/gobra,Go,Algorithms and Data Structures
github.com/yogischogi/ui2go,Go,Graphical User Interface Design
github.com/bhojpur/gui,Go,Graphical User Interface Design
the,Rust,File Handling
java.util.function.Predicate,Java,Algorithms and Data Structures
std::io::{self,Rust,File Handling
prefect,Python,Scheduling and Concurrency
com.fasterxml.jackson.databind.JsonNode,Java,Data Serialization
urllib3,Python,Networking and Messaging
com.ibm.storage.defender.security_context.services.sas.AccessService.ResourceType,Java,Security
requests,Python,Networking and Messaging
@polar/impersonation,TypeScript,Security
sklearn,Python,Mathematics and Numerics
static,Java,Algorithms and Data Structures
com.fasterxml.jackson.databind.node.ObjectNode,Java,Data Serialization
~/__tests__/cypress/cypress/types,TypeScript,Testing
mockall::*,Rust,Testing
std::fs::File,Rust,File Handling
./testutil,JavaScript,Testing
std::path::Path,Rust,File Handling
org.bouncycastle.openssl.jcajce.JcaPEMKeyConverter,Java,Security
os,Python,File Handling
utils,Python,Algorithms and Data Structures
./../types,TypeScript,Data Serialization
com.ibm.storage.defender.security_context.models.rbac.ResourceType,Java,Security
org.bouncycastle.util.io.pem.PemObject,Java,Security
boto3,Python,Networking and Messaging
java.security.spec.X509EncodedKeySpec,Java,Security
stdio.h,C++,File Handling
tokio::runtime::Handle,Rust,Scheduling and Concurrency
org.bouncycastle.openssl.PEMParser,Java,Security
org.slf4j.LoggerFactory,Java,Logging and Monitoring
com.ibm.storage.utils.SerializerProvider,Java,Data Serialization
jsonwebtoken::{Algorithm,Rust,Security
java.security.spec.InvalidKeySpecException,Java,Security
java.security.interfaces.RSAPublicKey,Java,Security
stdlib.h,C++,File Handling
super::*,Rust,Testing
java.security.NoSuchAlgorithmException,Java,Security
axios,JavaScript,Networking and Messaging
mockall::predicate::*,Rust,Testing
string.h,C++,File Handling
./CalculateReviewRequiredFields,JavaScript,Algorithms and Data Structures
opentelemetry::{global,Rust,Logging and Monitoring
java.security.KeyFactory,Java,Security
boxsdk,Python,Networking and Messaging
@polar/logger,TypeScript,Logging and Monitoring
pyspark,Python,Data Analysis
artifactory,Python,File Handling
java.lang.reflect.InvocationTargetException,Java,Code Analysis and Linting
openssl/evp.h,C,Security
apic,Python,Networking and Messaging
MetaKey.h,C++,Security
vectorestore_util,Python,Data Serialization
carbon-components-angular/tabs,TypeScript,Graphical User Interface Design
org.apache.poi.xssf.usermodel.XSSFWorkbook,Java,File Handling
random,C++,Mathematics and Numerics
cplex,Python,Mathematics and Numerics
opentelemetry,Python,Logging and Monitoring
org.testng.annotations.AfterClass,Java,Testing
org.openqa.selenium.WebElement,Java,Testing
com.ibm.brmt.cpp.cognos.rest.exceptions.RESTApiLogonExpiredException,Java,Security
java.awt.Window,Java,Graphical User Interface Design
java.nio.channels.FileChannel,Java,File Handling
System.Text,C#,File Handling
java.util.TreeSet,Java,Algorithms and Data Structures
lombok.NonNull,Java,Code Analysis and Linting
shared/utils/matchProduct,JavaScript,Algorithms and Data Structures
PyPDF2,Python,File Handling
java.io.InputStreamReader,Java,File Handling
ssl,Python,Security
sqlcli1.h,C++,Database Management
sys/stat.h,C,File Handling
shared_ptr.h,C++,Algorithms and Data Structures
System.IO,C#,File Handling
pdb,Python,Code Analysis and Linting
psdi.util.logging.*,Java,Logging and Monitoring
org.apache.parquet.example.data.simple.SimpleGroupFactory,Java,Data Serialization
utilities,Python,Algorithms and Data Structures
joblib,Python,Scheduling and Concurrency
itertools,Python,Algorithms and Data Structures
./welcome/welcome.component,TypeScript,Graphical User Interface Design
org.apache.parquet.example.data.Group,Java,Data Serialization
ProcessLog,Perl,Logging and Monitoring
copy,Python,File Handling
org.springframework.vault.core.VaultOperations,Java,Security
com.ibm.bi.dml.api.DMLScript,Java,Mathematics and Numerics
Newtonsoft.Json,C#,Data Serialization
rand::Rng,Rust,Mathematics and Numerics
com.ibm.bi.dml.test.integration.AutomatedTestBase,Java,Testing
functools,Python,Algorithms and Data Structures
iomanip,C++,File Handling
com.google.gson.GsonBuilder,Java,Data Serialization
rdkit,Python,Mathematics and Numerics
au.com.bytecode.opencsv.CSVReader,Java,File Handling
@playwright/test,JavaScript,Testing
monaco-editor,JavaScript,Graphical User Interface Design
ObjectIndex.h,C++,Algorithms and Data Structures
ctypes,Python,Security
aws/s3/S3Client.h,C++,Networking and Messaging
java.lang.reflect.Constructor,Java,Code Analysis and Linting
ctype.h,C,Algorithms and Data Structures
javax.xml.bind.annotation.XmlSeeAlso,Java,Data Serialization
mas,Python,Mathematics and Numerics
uuid,TypeScript,Data Serialization
com.ibm.brmt.cpp.cognos.rest.exceptions.RESTApiRuntimeException,Java,Security
io.vertx.core.json.JsonArray,Java,Data Serialization
stddef.h,C,File Handling
osprules,Python,Algorithms and Data Structures
mpl_toolkits,Python,Mathematics and Numerics
java.text.SimpleDateFormat,Java,File Handling
kmipprotocol::client::{Client,Rust,Networking and Messaging
typing,Python,Code Analysis and Linting
au.com.bytecode.opencsv.CSVWriter,Java,File Handling
com.ghgande.j2mod.modbus.net.SerialConnection,Java,Networking and Messaging
sqluv.h,C++,Database Management
test/test.dart;,Dart,Testing
org.bouncycastle.math.ec.ECPoint,Java,Security
unordered_map,C++,Algorithms and Data Structures
tensorflow,Python,Mathematics and Numerics
cstdlib,C++,Algorithms and Data Structures
socketserver,Python,Networking and Messaging
bitset,C++,Algorithms and Data Structures
std::sync::Arc,Rust,Scheduling and Concurrency
pyodbc,Python,Database Management
com.ibm.bi.dml.runtime.util.MapReduceTool,Java,Mathematics and Numerics
watson_testing,Python,Testing
org.apache.http.conn.ssl.SSLConnectionSocketFactory,Java,Security
map,C++,Algorithms and Data Structures
com.fasterxml.jackson.databind.ObjectMapper,Java,Data Serialization
com.ghgande.j2mod.modbus.io.ModbusSerialTransport,Java,Networking and Messaging
transformers,Python,Algorithms and Data Structures
org.testcontainers.junit.jupiter.Testcontainers,Java,Testing
common,Python,Algorithms and Data Structures
torch_geometric,Python,Mathematics and Numerics
java.net.http.HttpClient,Java,Networking and Messaging
../../../shared/utils/removeStringQuotes,JavaScript,Algorithms and Data Structures
num_bigint::BigUint,Rust,Mathematics and Numerics
org.apache.parquet.schema.MessageTypeParser,Java,Data Serialization
drPacketCapture.def,C++,Security
Math::BigInt,Perl,Mathematics and Numerics
dpEventTrace.h,C++,Logging and Monitoring
org.apache.log4j.Logger,Java,Logging and Monitoring
apiSecurityOAuthOpenIDConnect.hpp,C++,Security
System.Linq,C#,Algorithms and Data Structures
@jest/globals,JavaScript,Testing
db2infra,Python,Database Management
org.testng.annotations.DataProvider,Java,Testing
java.util.Random,Java,Mathematics and Numerics
kmipprotocol::utils::ByteBuf,Rust,Networking and Messaging
read_work_unit.h,C++,File Handling
queue,Python,Algorithms and Data Structures
java.sql.ResultSet,Java,Database Management
locale,Python,File Handling
carbon-components-angular,TypeScript,Graphical User Interface Design
serde_json::Value,Rust,Data Serialization
email,Python,Networking and Messaging
dataclasses,Python,Algorithms and Data Structures
java.util.Map.Entry,Java,Algorithms and Data Structures
io,Python,File Handling
sys/sysconfig.h,C,File Handling
org.apache.logging.log4j.core.LogEvent,Java,Logging and Monitoring
org.apache.parquet.schema.MessageType,Java,Data Serialization
org.testng.annotations.BeforeMethod,Java,Testing
signal,Python,Scheduling and Concurrency
oracledb,Python,Database Management
@react-aria/button,JavaScript,Graphical User Interface Design
org.apache.thrift.protocol.TBinaryProtocol,Java,Networking and Messaging
ibm_db_dbi,Python,Database Management
java.util.Calendar,Java,File Handling
@hpcc-js/wasm/graphviz,JavaScript,Graphical User Interface Design
urh-ioctl.h,C,Networking and Messaging
sys/wait.h,C++,File Handling
java.security.KeyStore,Java,Security
warnings,Python,Code Analysis and Linting
math,Python,Mathematics and Numerics
java.util.stream.IntStream,Java,Algorithms and Data Structures
File::Path,Perl,File Handling
processing.gif.*,Java,Graphical User Interface Design
java.security.cert.Certificate,Java,Security
dpFilePaths.h,C++,File Handling
react-native,JavaScript,Graphical User Interface Design
sqlsystm.h,C++,Database Management
iotfunctions,Python,Data Analysis
com.fasterxml.jackson.core.JsonParser,Java,Data Serialization
java.util.AbstractMap,Java,Algorithms and Data Structures
playwright,TypeScript,Testing
org.springframework.kafka.core.KafkaTemplate,Java,Networking and Messaging
difflib,Python,Algorithms and Data Structures
java.time.format.DateTimeFormatter,Java,File Handling
rocksdb/cloud/cloud_env_options.h,C++,Database Management
vscode,TypeScript,Graphical User Interface Design
vars,Perl,Algorithms and Data Structures
org.openqa.selenium.*,Java,Testing
java.beans.IntrospectionException,Java,Code Analysis and Linting
org.openqa.selenium.By,Java,Testing
tokio::sync::RwLock,Rust,Scheduling and Concurrency
opentelemetry/trace/link.h,C++,Logging and Monitoring
com.ibm.bi.dml.utils.Statistics,Java,Mathematics and Numerics
javax.net.ssl.SSLContext,Java,Security
com.ghgande.j2mod.modbus.msg.WriteMultipleRegistersRequest,Java,Networking and Messaging
org.apache.http.impl.client.HttpClients,Java,Networking and Messaging
enzyme,TypeScript,Testing
org.testng.annotations.Group,Java,Testing
stdint.h,C,File Handling
wget,Python,Networking and Messaging
re,Python,Algorithms and Data Structures
org.junit.jupiter.api.Assertions,Java,Testing
Windows.Foundation,C#,Graphical User Interface Design
org.testng.annotations.BeforeClass,Java,Testing
Time::Local,Perl,File Handling
ibm_db_tools,Python,Database Management
vector,C++,Algorithms and Data Structures
deepmerge,Python,Algorithms and Data Structures
hashlib,Python,Security
org.apache.poi.ss.usermodel.Workbook,Java,File Handling
System.Collections.Generic,C#,Algorithms and Data Structures
java.util.Date,Java,File Handling
com.ibm.db2.jcc.DB2ConnectionPool,Java,Database Management
java.util.Comparator,Java,Algorithms and Data Structures
com.ibm.bi.dml.runtime.instructions.cp.BooleanObject,Java,Mathematics and Numerics
openssl/sha.h,C,Security
java.lang.reflect.*,Java,Code Analysis and Linting
junitparser,Python,Testing
random,Python,Mathematics and Numerics
logger_macros.h,C++,Logging and Monitoring
org.springframework.vault.support.VaultResponse,Java,Security
java.sql.Statement,Java,Database Management
openpyxl,Python,File Handling
java.nio.channels.DatagramChannel,Java,Networking and Messaging
base64,Python,Data Serialization
time.h,C,File Handling
org.apache.thrift.transport.TSocket,Java,Networking and Messaging
std::io,Rust,File Handling
pyarrow,Python,Data Serialization
java.nio.file.StandardOpenOption,Java,File Handling
com.ibm.bi.dml.runtime.matrix.MatrixCharacteristics,Java,Mathematics and Numerics
java.sql.PreparedStatement,Java,Database Management
java.lang.instrument.*,Java,Code Analysis and Linting
org.apache.http.impl.client.CloseableHttpClient,Java,Networking and Messaging
java.nio.file.attribute.PosixFileAttributeView,Java,File Handling
my_module,Python,Algorithms and Data Structures
com.ibm.zos.net.ftp.FTPClientErrorException,Java,Networking and Messaging
org.testng.annotations.Factory,Java,Testing
org.testng.annotations.AfterTest,Java,Testing
java.time.ZoneId,Java,File Handling
java.io.FilenameFilter,Java,File Handling
dpEventLogMacro.h,C++,Logging and Monitoring
charconv,C++,File Handling
java.util.LinkedHashSet,Java,Algorithms and Data Structures
io.quarkus.runtime.annotations.RegisterForReflection,Java,Code Analysis and Linting
java.nio.ByteBuffer,Java,File Handling
@carbon/ibm-security,JavaScript,Security
org.testcontainers.containers.Network,Java,Networking and Messaging
sqlalchemy,Python,Database Management
iostream,C++,File Handling
com.ibm.zos.net.ftp.FTPClientProcessKillException,Java,Networking and Messaging
System.Collections.Specialized,C#,Algorithms and Data Structures
math.h,C,Mathematics and Numerics
multiscanner,Python,Security
resolv.h,C++,Networking and Messaging
com.ibm.cloud.objectstorage.services.s3.model.ListObjectsRequest,Scala,Networking and Messaging
react-bootstrap,JavaScript,Graphical User Interface Design
io.opentelemetry.api.trace.Span,Java,Logging and Monitoring
com.ibm.rdm.fronting.server.services.reqif.diagnostics.ReqIFDiagnosticResultParameter.ResultParameterKey,Java,Data Analysis
tabulate,Python,Data Analysis
org.eclipse.jdt.core.dom.VariableDeclarationStatement,Java,Code Analysis and Linting
enum,Python,Algorithms and Data Structures
cdm_box.H,C++,File Handling
webdriver_manager,Python,Testing
org.jdom2.input.SAXBuilder,Java,File Handling
onepassword,Python,Security
com.ibm.wcaz.testing.evaluators.exceptions.TopLevelLocalVariablesTypeMismatchException,Java,Code Analysis and Linting
org.springframework.data.jpa.repository.JpaRepository,Java,Database Management
com.vmturbo.system.notifications.SystemNotificationsServiceOuterClass.LinkNotificationRequest,Java,Networking and Messaging
org.mockito.Mock,Java,Testing
org.apache.iceberg.Schema,Java,Data Serialization
paramiko,Python,Networking and Messaging
File::Slurp,Perl,File Handling
com.google.gson.annotations.SerializedName,Java,Data Serialization
org.eclipse.jdt.core.dom.VariableDeclarationFragment,Java,Code Analysis and Linting
javax.xml.stream.XMLStreamReader,Java,File Handling
dev.galasa.core.manager.Logger,Java,Logging and Monitoring
users,Python,Database Management
org.apache.hadoop.fs.Path,Java,File Handling
textwrap,Python,File Handling
sqlenv.h,C,Database Management
com.ibm.services.tools.marketplace.search.model.FilterFactory,Java,Data Analysis
io.openliberty.jpa.data.tests.models.Reciept,Java,Database Management
org.mockito.InjectMocks,Java,Testing
com.ibm.eicore.boi.dto.ItemStructureEngDto,Java,Data Serialization
dask,Python,Data Analysis
com.ibm.rdm.fronting.server.common.reqif.SpecObject,Java,Data Serialization
psdi.security.ProfileService,Java,Security
MakeApiCall,Python,Networking and Messaging
com.samsung.sec.dexter.eclipse.ui.view.ContainerPanel,Java,Graphical User Interface Design
javax.xml.namespace.QName,Java,File Handling
java.util.regex.Matcher,Java,Algorithms and Data Structures
org.eclipse.jdt.core.dom.ASTNode,Java,Code Analysis and Linting
org.apache.arrow.vector.ipc.ArrowFileWriter,Java,Data Serialization
com.ibm.services.tools.marketplace.model.logic.SavedSearch,Java,Data Analysis
carbon-components-react,JavaScript,Graphical User Interface Design
com.ibm.services.tools.marketplace.search.model.Filter,Java,Data Analysis
com.ibm.grc.resmgr.repository.DataPersistenceManager,Java,Database Management
bitmath,Python,Mathematics and Numerics
sys/types.h,C++,File Handling
java.math.MathContext,Java,Mathematics and Numerics
org.jdom2.output.XMLOutputter,Java,File Handling
java.util.stream.Stream,Java,Algorithms and Data Structures
flutter/material.dart;,Dart,Graphical User Interface Design
com.informatica.powercenter.SchedulerServiceConstants.OperationType,Java,Scheduling and Concurrency
callbackCommon.c,C,Algorithms and Data Structures
com.samsung.sec.dexter.eclipse.ui.view.CodeMetricsView,Java,Graphical User Interface Design
com.samsung.sec.dexter.eclipse.ui.view.SourceCodeView,Java,Graphical User Interface Design
synthpop::{Population,Rust,Data Analysis
org.apache.logging.log4j.Marker,Java,Logging and Monitoring
com.saa.auth.dao.AuthorityDAO,Java,Security
java.security.MessageDigest,Java,Security
com.ibm.services.tools.marketplace.search.model.SearchEngineRequest,Java,Data Analysis
org.apache.arrow.vector.types.pojo.Field,Java,Data Serialization
javax.persistence.Entity,Java,Database Management
com.ibm.eicore.boi.service.ItemEngRevService,Java,Data Serialization
user,Python,File Handling
com.ibm.maximo.automation.mobile.api.json.TkSrvAd,Java,Data Serialization
org.eclipse.jdt.core.dom.VariableDeclaration,Java,Code Analysis and Linting
react-window,JavaScript,Graphical User Interface Design
org.apache.hadoop.fs.FileSystem,Java,File Handling
win32com,Python,Networking and Messaging
org.apache.axiom.om.OMNamespace,Java,Data Serialization
org.openqa.selenium.support.ui.ExpectedConditions,Java,Testing
ibm_boto3,Python,Networking and Messaging
secrets,Python,Security
strict,Perl,Code Analysis and Linting
